source,seed,scoring_fold,tuning_fold,architecture,cutoff_rule,cutoff,tuning_specificity,tuning_recall,scoring_patients,scoring_hfref_patients,scoring_threshold,scoring_auprc,scoring_auroc,scoring_recall,scoring_specificity,scoring_balanced_accuracy,scoring_precision,scoring_f1,scoring_brier,scoring_log_loss,scoring_calibration_error,scoring_tn,scoring_fp,scoring_fn,scoring_tp
corrected,2026,1,2,joint_4ch,target_90pct_tuning_specificity,0.3527007,0.9090909090909091,0.6666666666666666,100,12,0.3527007,0.5644502689712305,0.8532196969696969,0.5,0.8863636363636364,0.6931818181818181,0.375,0.42857142857142855,0.08905959877727072,0.31448496245438956,0.10892168437,78,10,6,6
corrected,2026,1,2,shared_site,maximum_tuning_f1,0.439057515,0.875,0.8333333333333334,100,12,0.439057515,0.6315960690496295,0.868371212121212,0.6666666666666666,0.8977272727272727,0.7821969696969697,0.47058823529411764,0.5517241379310345,0.10149692302484122,0.3485842964478034,0.16797706425,79,9,4,8
corrected,2026,1,2,shared_site,target_90pct_tuning_specificity,0.498318885,0.9090909090909091,0.6666666666666666,100,12,0.498318885,0.6315960690496295,0.868371212121212,0.5,0.9318181818181818,0.7159090909090908,0.5,0.5,0.10149692302484122,0.3485842964478034,0.16797706425,82,6,6,6
corrected,2026,2,3,joint_4ch,maximum_tuning_f1,0.566718135,0.8977272727272727,0.6666666666666666,100,12,0.566718135,0.47807613682613675,0.8380681818181819,0.5833333333333334,0.9318181818181818,0.7575757575757576,0.5384615384615384,0.56,0.1285862953765439,0.42571033200798625,0.20996066516,82,6,5,7
corrected,2026,2,3,joint_4ch,target_90pct_tuning_specificity,0.6153657699999999,0.9090909090909091,0.5833333333333334,100,12,0.6153657699999999,0.47807613682613675,0.8380681818181819,0.25,0.9431818181818182,0.5965909090909092,0.375,0.3,0.1285862953765439,0.42571033200798625,0.20996066516,83,5,9,3
corrected,2026,2,3,shared_site,maximum_tuning_f1,0.61631485,0.9204545454545454,0.75,100,12,0.61631485,0.4685008778086253,0.8390151515151515,0.3333333333333333,0.9545454545454546,0.6439393939393939,0.5,0.4,0.13605977964861396,0.44454263567725844,0.2256344994,84,4,8,4
corrected,2026,2,3,shared_site,target_90pct_tuning_specificity,0.59953113,0.9090909090909091,0.75,100,12,0.59953113,0.4685008778086253,0.8390151515151515,0.3333333333333333,0.9318181818181818,0.6325757575757576,0.4,0.36363636363636365,0.13605977964861396,0.44454263567725844,0.2256344994,82,6,8,4
corrected,2026,3,4,joint_4ch,maximum_tuning_f1,0.5123755999999999,0.9090909090909091,0.8333333333333334,100,12,0.5123755999999999,0.4664057478059693,0.9024621212121212,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.11478907409747016,0.3775963200671085,0.18258601291,77,11,4,8
corrected,2026,3,4,joint_4ch,target_90pct_tuning_specificity,0.5123755999999999,0.9090909090909091,0.8333333333333334,100,12,0.5123755999999999,0.4664057478059693,0.9024621212121212,0.6666666666666666,0.875,0.7708333333333333,0.42105263157894735,0.5161290322580645,0.11478907409747016,0.3775963200671085,0.18258601291,77,11,4,8
corrected,2026,3,4,shared_site,maximum_tuning_f1,0.5682029200000001,0.9204545454545454,0.8333333333333334,100,12,0.5682029200000001,0.6047778167459019,0.9138257575757576,0.9166666666666666,0.8295454545454546,0.8731060606060606,0.4230769230769231,0.5789473684210527,0.16118534509830035,0.4934660508018334,0.283374603,73,15,1,11
