Seed,Cutoff_Rule,Architecture,Fold,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
2026,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.967741935483871,4,2,30,1
2026,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,low,27,5,22,0.6,0.7727272727272727,3,2,17,5
2026,maximum_tuning_f1,shared_site,1,mean_high_frequency_rms_ratio,middle,36,1,35,1.0,0.9142857142857143,1,0,32,3
2026,maximum_tuning_f1,shared_site,2,beat_detection_check,all_sites_passed,98,11,87,0.36363636363636365,0.9540229885057471,4,7,83,4
2026,maximum_tuning_f1,shared_site,2,beat_detection_check,one_or_more_failed,2,1,1,0.0,1.0,0,1,1,0
2026,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.4,1.0,2,3,25,0
2026,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,low,35,4,31,0.5,0.9354838709677419,2,2,29,2
2026,maximum_tuning_f1,shared_site,2,mean_baseline_drift_rms_ratio,middle,35,3,32,0.0,0.9375,0,3,30,2
2026,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,high,40,3,37,0.3333333333333333,1.0,1,2,37,0
2026,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,low,30,8,22,0.25,0.8636363636363636,2,6,19,3
2026,maximum_tuning_f1,shared_site,2,mean_high_frequency_rms_ratio,middle,30,1,29,1.0,0.9655172413793104,1,0,28,1
2026,maximum_tuning_f1,shared_site,3,beat_detection_check,all_sites_passed,100,12,88,0.9166666666666666,0.8295454545454546,11,1,73,15
2026,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,high,32,3,29,0.6666666666666666,0.896551724137931,2,1,26,3
2026,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,low,32,3,29,1.0,0.7931034482758621,3,0,23,6
2026,maximum_tuning_f1,shared_site,3,mean_baseline_drift_rms_ratio,middle,36,6,30,1.0,0.8,6,0,24,6
2026,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,high,26,3,23,0.6666666666666666,0.9130434782608695,2,1,21,2
2026,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,low,44,9,35,1.0,0.6285714285714286,9,0,22,13
2026,maximum_tuning_f1,shared_site,3,mean_high_frequency_rms_ratio,middle,30,0,30,,1.0,0,0,30,0
2026,maximum_tuning_f1,shared_site,4,beat_detection_check,all_sites_passed,99,12,87,0.5833333333333334,0.9310344827586207,7,5,81,6
2026,maximum_tuning_f1,shared_site,4,beat_detection_check,one_or_more_failed,1,0,1,,1.0,0,0,1,0
2026,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,high,39,2,37,0.5,0.9459459459459459,1,1,35,2
2026,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,low,33,7,26,0.42857142857142855,0.9230769230769231,3,4,24,2
2026,maximum_tuning_f1,shared_site,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.92,3,0,23,2
2026,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,high,32,4,28,0.5,1.0,2,2,28,0
2026,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,low,30,7,23,0.7142857142857143,0.8260869565217391,5,2,19,4
2026,maximum_tuning_f1,shared_site,4,mean_high_frequency_rms_ratio,middle,38,1,37,0.0,0.9459459459459459,0,1,35,2
2026,target_90pct_tuning_specificity,joint_4ch,0,beat_detection_check,all_sites_passed,100,12,88,0.5833333333333334,0.875,7,5,77,11
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.8857142857142857,1,1,31,4
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.42857142857142855,0.8571428571428571,3,4,24,4
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.88,3,0,22,3
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8709677419354839,2,0,27,4
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,low,37,6,31,0.6666666666666666,0.8064516129032258,4,2,25,6
2026,target_90pct_tuning_specificity,joint_4ch,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.25,0.9615384615384616,1,3,25,1
2026,target_90pct_tuning_specificity,joint_4ch,1,beat_detection_check,all_sites_passed,100,12,88,0.5,0.8863636363636364,6,6,78,10
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,high,29,1,28,0.0,0.8571428571428571,0,1,24,4
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.42857142857142855,0.88,3,4,22,3
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,0.9142857142857143,3,1,32,3
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.8709677419354839,4,2,27,4
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,low,27,5,22,0.4,0.8181818181818182,2,3,18,4
2026,target_90pct_tuning_specificity,joint_4ch,1,mean_high_frequency_rms_ratio,middle,36,1,35,0.0,0.9428571428571428,0,1,33,2
