Seed,Cutoff_Rule,Architecture,Fold,Quality_Measure,Quality_Group,patients,hfref_patients,non_hfref_patients,recall,specificity,tp,fn,tn,fp
42,target_90pct_tuning_specificity,shared_site,3,mean_high_frequency_rms_ratio,low,44,9,35,1.0,0.6571428571428571,9,0,23,12
42,target_90pct_tuning_specificity,shared_site,3,mean_high_frequency_rms_ratio,middle,30,0,30,,0.9666666666666667,0,0,29,1
42,target_90pct_tuning_specificity,shared_site,4,beat_detection_check,all_sites_passed,99,12,87,0.6666666666666666,0.9425287356321839,8,4,82,5
42,target_90pct_tuning_specificity,shared_site,4,beat_detection_check,one_or_more_failed,1,0,1,,0.0,0,0,0,1
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,high,39,2,37,0.5,0.918918918918919,1,1,34,3
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,low,33,7,26,0.5714285714285714,0.9615384615384616,4,3,25,1
42,target_90pct_tuning_specificity,shared_site,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.92,3,0,23,2
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,high,32,4,28,0.5,0.9642857142857143,2,2,27,1
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,low,30,7,23,0.8571428571428571,0.8695652173913043,6,1,20,3
42,target_90pct_tuning_specificity,shared_site,4,mean_high_frequency_rms_ratio,middle,38,1,37,0.0,0.9459459459459459,0,1,35,2
2026,maximum_tuning_f1,joint_4ch,0,beat_detection_check,all_sites_passed,100,12,88,0.8333333333333334,0.8636363636363636,10,2,76,12
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,high,37,2,35,1.0,0.9428571428571428,2,0,33,2
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.7142857142857143,0.7857142857142857,5,2,22,6
2026,maximum_tuning_f1,joint_4ch,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.84,3,0,21,4
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8709677419354839,2,0,27,4
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,low,37,6,31,0.8333333333333334,0.8064516129032258,5,1,25,6
2026,maximum_tuning_f1,joint_4ch,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.75,0.9230769230769231,3,1,24,2
2026,maximum_tuning_f1,joint_4ch,1,beat_detection_check,all_sites_passed,100,12,88,0.6666666666666666,0.9318181818181818,8,4,82,6
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,high,29,1,28,1.0,0.8928571428571429,1,0,25,3
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.5714285714285714,0.92,4,3,23,2
2026,maximum_tuning_f1,joint_4ch,1,mean_baseline_drift_rms_ratio,middle,39,4,35,0.75,0.9714285714285714,3,1,34,1
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,high,37,6,31,0.6666666666666666,0.967741935483871,4,2,30,1
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,low,27,5,22,0.8,0.9545454545454546,4,1,21,1
2026,maximum_tuning_f1,joint_4ch,1,mean_high_frequency_rms_ratio,middle,36,1,35,0.0,0.8857142857142857,0,1,31,4
2026,maximum_tuning_f1,joint_4ch,2,beat_detection_check,all_sites_passed,98,11,87,0.5454545454545454,0.896551724137931,6,5,78,9
2026,maximum_tuning_f1,joint_4ch,2,beat_detection_check,one_or_more_failed,2,1,1,1.0,1.0,1,0,1,0
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,high,30,5,25,0.6,0.96,3,2,24,1
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,low,35,4,31,0.75,0.8387096774193549,3,1,26,5
2026,maximum_tuning_f1,joint_4ch,2,mean_baseline_drift_rms_ratio,middle,35,3,32,0.3333333333333333,0.90625,1,2,29,3
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,high,40,3,37,1.0,0.9459459459459459,3,0,35,2
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,low,30,8,22,0.375,0.8636363636363636,3,5,19,3
2026,maximum_tuning_f1,joint_4ch,2,mean_high_frequency_rms_ratio,middle,30,1,29,1.0,0.8620689655172413,1,0,25,4
2026,maximum_tuning_f1,joint_4ch,3,beat_detection_check,all_sites_passed,100,12,88,0.8333333333333334,0.8636363636363636,10,2,76,12
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,high,32,3,29,0.3333333333333333,0.9310344827586207,1,2,27,2
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,low,32,3,29,1.0,0.8620689655172413,3,0,25,4
2026,maximum_tuning_f1,joint_4ch,3,mean_baseline_drift_rms_ratio,middle,36,6,30,1.0,0.8,6,0,24,6
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,high,26,3,23,0.6666666666666666,0.9565217391304348,2,1,22,1
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,low,44,9,35,0.8888888888888888,0.7142857142857143,8,1,25,10
2026,maximum_tuning_f1,joint_4ch,3,mean_high_frequency_rms_ratio,middle,30,0,30,,0.9666666666666667,0,0,29,1
2026,maximum_tuning_f1,joint_4ch,4,beat_detection_check,all_sites_passed,99,12,87,1.0,0.8620689655172413,12,0,75,12
2026,maximum_tuning_f1,joint_4ch,4,beat_detection_check,one_or_more_failed,1,0,1,,1.0,0,0,1,0
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,high,39,2,37,1.0,0.8648648648648649,2,0,32,5
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,low,33,7,26,1.0,0.8461538461538461,7,0,22,4
2026,maximum_tuning_f1,joint_4ch,4,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.88,3,0,22,3
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,high,32,4,28,1.0,0.9285714285714286,4,0,26,2
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,low,30,7,23,1.0,0.8260869565217391,7,0,19,4
2026,maximum_tuning_f1,joint_4ch,4,mean_high_frequency_rms_ratio,middle,38,1,37,1.0,0.8378378378378378,1,0,31,6
2026,maximum_tuning_f1,shared_site,0,beat_detection_check,all_sites_passed,100,12,88,0.75,0.8522727272727273,9,3,75,13
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,high,37,2,35,0.5,0.8857142857142857,1,1,31,4
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,low,35,7,28,0.7142857142857143,0.8214285714285714,5,2,23,5
2026,maximum_tuning_f1,shared_site,0,mean_baseline_drift_rms_ratio,middle,28,3,25,1.0,0.84,3,0,21,4
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,high,33,2,31,1.0,0.8387096774193549,2,0,26,5
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,low,37,6,31,1.0,0.8064516129032258,6,0,25,6
2026,maximum_tuning_f1,shared_site,0,mean_high_frequency_rms_ratio,middle,30,4,26,0.25,0.9230769230769231,1,3,24,2
2026,maximum_tuning_f1,shared_site,1,beat_detection_check,all_sites_passed,100,12,88,0.9166666666666666,0.7954545454545454,11,1,70,18
2026,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,high,29,1,28,1.0,0.6785714285714286,1,0,19,9
2026,maximum_tuning_f1,shared_site,1,mean_baseline_drift_rms_ratio,low,32,7,25,0.8571428571428571,0.8,6,1,20,5
